BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance(km),streetType,ElectricityProp,NaturalGasProp,SteamProp,OtherEnergyProp,Imp_NumberofFloors
SPS-District K-12,K-12 School,NORTHWEST,1963,1.0,0,131013,K-12 School,None,0.0,None,0.0,88.0,3894584.5,124.92,13.061354022541497,avenue,0.4558863724743936,0.5441137559090065,0.0,-1.283834000777233e-07,2
SPS-District K-12,K-12 School,NORTHWEST,1959,1.0,0,245587,K-12 School,None,0.0,None,0.0,92.0,11765682.0,443.73,13.118278938153903,street,0.3336832493008055,0.6663166657062464,0.0,8.499294813509323e-08,1
NonResidential,Hotel,NORTHWEST,2002,1.0,0,69138,Hotel,None,0.0,None,0.0,78.0,3242458.0,89.02,13.105132163234105,avenue,0.5560253980159496,0.44397429357604634,0.0,3.0840800405124756e-07,3
NonResidential,Hotel,DOWNTOWN,1904,1.0,0,190980,Hotel,Parking,19051.0,None,0.0,98.0,6505995.0,142.39,0.33304416573657,avenue,0.6767466006352603,0.32325324566034863,0.0,1.5370439110389725e-07,5
Nonresidential COS,Other,DOWNTOWN,1998,1.0,0,284100,Other - Entertainment/Public Assembly,None,0.0,None,0.0,,14641502.0,429.12,0.05124629424297043,street,0.6695365680378966,0.036017001534405416,0.2944462938296904,1.3659800749950381e-07,6
NonResidential,Hospital,BALLARD,1954,4.0,0,285333,Hospital (General Medical & Surgical),Parking,148865.0,None,0.0,14.0,68090728.0,1990.5,7.385251797510496,avenue,0.5175037194491444,0.4824961190016943,0.0,1.6154916128962522e-07,5
SPS-District K-12,K-12 School,BALLARD,1991,1.0,0,55513,K-12 School,None,0.0,None,0.0,93.0,1513570.75,10.55,7.2578849557427905,avenue,1.0000001651723252,0.0,0.0,-1.6517232511265166e-07,2
Nonresidential COS,Other,DOWNTOWN,2006,1.0,0,61156,Other,Office,29219.0,None,0.0,,9363374.0,176.75,0.9663188266995515,avenue,0.741962245660592,0.258037754339408,0.0,0.0,4
NonResidential,Other,DOWNTOWN,1910,1.0,13820,59000,Museum,None,0.0,None,0.0,,2010454.625,46.26,1.4683739528590238,street,0.6524240754749687,0.34757561365007184,0.0,3.1087495943858966e-07,4
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1996,1.0,14200,148022,Hotel,Parking,32692.0,None,0.0,76.0,7946961.0,228.4,2.19172558489236,avenue,0.5281845475270358,0.4718154524729642,0.0,0.0,4
SPS-District K-12,K-12 School,SOUTHEAST,1990,1.0,0,289588,K-12 School,None,0.0,None,0.0,90.0,8819852.0,170.84,4.768060154898003,boulevard,0.7312780305157048,0.26872174272312055,0.0,2.267611746773075e-07,4
NonResidential,University,EAST,1915,1.0,0,63330,College/University,None,0.0,None,0.0,,3059758.0,74.33,1.3426240117375852,street,0.6245801138521413,0.37541988614785876,0.0,0.0,3
Campus,University,DELRIDGE,1970,27.0,0,441071,College/University,None,0.0,None,0.0,,38301744.0,866.23,6.876740630593016,avenue,0.6609248654578236,0.3390750562167613,0.0,7.832541515603049e-08,2
NonResidential,Small- and Mid-Sized Office,NORTHEAST,2002,1.0,0,96300,Office,Data Center,4944.0,None,0.0,,16319835.0,222.02,9.503160830036576,way,0.8562400293875521,0.14375984806218936,0.0,1.2255025862700206e-07,2
Nonresidential COS,Other,GREATER DUWAMISH,1950,1.0,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",None,0.0,None,0.0,,7475577.5,204.08,1.757888253412618,street,0.5594217971788802,0.44057813593665507,0.0,6.688446477880806e-08,1
SPS-District K-12,K-12 School,CENTRAL,2008,1.0,0,254523,K-12 School,None,0.0,None,0.0,60.0,13567774.0,359.09,2.6019062910986106,avenue,0.5774760841387836,0.42252384215715855,0.0,7.370405786535065e-08,3
SPS-District K-12,K-12 School,SOUTHEAST,2001,1.0,0,78804,K-12 School,None,0.0,None,0.0,92.0,2499140.0,56.82,11.86270443311746,avenue,0.6583120593484159,0.34168794065158414,0.0,0.0,3
SPS-District K-12,K-12 School,CENTRAL,2002,1.0,0,66994,K-12 School,None,0.0,None,0.0,79.0,2371304.5,41.74,3.4321385740430266,avenue,0.7695532142750963,0.2304465748704985,0.0,2.108544052440334e-07,3
SPS-District K-12,K-12 School,GREATER DUWAMISH,2000,1.0,0,98357,K-12 School,None,0.0,None,0.0,88.0,3456131.5,94.64,9.43188822290332,avenue,0.5575791893335077,0.44242066599607105,0.0,1.446704212498859e-07,3
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1958,1.0,0,54765,Office,Other,25000.0,None,0.0,,4253369.5,61.21,8.66194733066656,street,0.8391786793975929,0.16082120304854775,0.0,1.1755385935785734e-07,1
NonResidential,Other,GREATER DUWAMISH,2009,1.0,0,89821,Other - Lodging/Residential,Office,37938.0,Food Service,4579.0,,1950092.5,100.46,8.768352676527714,street,0.03459425642629773,0.9654059999717962,0.0,-2.563980939365697e-07,5
NonResidential,University,MAGNOLIA / QUEEN ANNE,1980,1.0,0,52611,College/University,None,0.0,None,0.0,,4116871.5,104.26,5.212035903166243,avenue,0.6022225857668864,0.39777729278166685,0.0,1.2145144680857783e-07,2
NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,2001,1.0,37500,102100,Residence Hall/Dormitory,None,0.0,None,0.0,89.0,4448582.5,129.39,5.18960295585104,street,0.5206822622711841,0.47931762533346295,0.0,1.1239535290173893e-07,4
SPS-District K-12,K-12 School,NORTH,2011,1.0,0,236758,K-12 School,Parking,0.0,None,0.0,96.0,8355988.5,222.78,11.537695058259045,avenue,0.5732353509103082,0.42676446957771663,0.0,1.7951197515410654e-07,2
NonResidential,Other,CENTRAL,1971,3.0,0,250981,Other,Courthouse,78357.0,None,0.0,,13071700.0,422.39,1.5886423331073818,street,0.6238669798113482,0.044383821538131994,0.3317490838988043,1.147517155381473e-07,6
SPS-District K-12,K-12 School,NORTHWEST,2002,1.0,0,62526,K-12 School,None,0.0,None,0.0,96.0,1986094.875,54.07,9.019550866909215,street,0.5610955518930081,0.4389045110445693,0.0,-6.293757744075544e-08,3
NonResidential,Other,DOWNTOWN,2004,1.0,68432,230638,Other,None,0.0,None,0.0,,65336980.0,2055.82,0.9226262735193361,avenue,0.46913163112222206,0.5308682923514371,0.0,7.652634082567024e-08,11
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,2007,1.0,0,64015,Office,Non-Refrigerated Warehouse,15000.0,Other - Services,9015.0,21.0,3242077.75,49.58,8.101624530434878,way,0.8196540012033949,0.18034607590764903,0.0,-7.711104399023127e-08,3
